text,category,description
"Build and deploy machine learning models for production recommendation systems using PyTorch and FAISS",AI/ML Engineering,"ML model development and deployment"
"Design RESTful APIs using FastAPI with Pydantic validation and async request handling",Backend Engineering,"API design and development"
"Implement CI/CD pipelines using Azure DevOps with Docker containerization and Kubernetes orchestration",DevOps/MLOps,"Infrastructure automation"
"Fine-tune sentence transformers for semantic similarity tasks on domain-specific corpora",NLP/NLU,"Sentence embedding customization"
"Develop real-time object detection systems using YOLOv8 with custom tracking algorithms",Computer Vision,"Object detection and tracking"
"Create data ingestion pipelines processing millions of records daily with anomaly detection",Data Engineering,"ETL pipeline development"
"Train and evaluate large language models for text classification and entity extraction",NLP/NLU,"LLM training and evaluation"
"Build multi-agent systems with tool-calling capabilities for automated compliance review",AI/ML Engineering,"Agentic AI systems"
"Design and implement FAISS-based vector search indices for sub-100ms retrieval at scale",AI/ML Engineering,"Vector search infrastructure"
"Develop computer vision edge solutions with NVIDIA DeepStream for real-time video analytics",Computer Vision,"Edge AI deployment"
"Implement A/B testing frameworks for ML model performance comparison in production",DevOps/MLOps,"Experiment tracking"
"Build ETL pipelines with Azure Data Factory for structured and unstructured data processing",Data Engineering,"Cloud data pipelines"
"Deploy ML models as microservices with autoscaling on Azure Kubernetes Service",DevOps/MLOps,"Model serving infrastructure"
"Implement contrastive learning pipelines for multimodal image-text retrieval systems",Computer Vision,"Multimodal AI"
"Design recommendation engines using collaborative filtering and content-based approaches",AI/ML Engineering,"Recommendation systems"
"Build natural language understanding systems for intent classification and slot filling",NLP/NLU,"Conversational AI"
"Develop time-series forecasting models using SARIMA and XGBoost for demand prediction",AI/ML Engineering,"Forecasting"
"Implement data annotation pipelines with quality control and inter-annotator agreement metrics",Data Engineering,"Data labelling infrastructure"
"Create real-time streaming architectures using Azure Event Hub and Service Bus",Backend Engineering,"Event-driven architecture"
"Build responsive web dashboards for ML model monitoring and performance visualization",Backend Engineering,"Observability tools"
"Fine-tune BERT models for domain-specific named entity recognition tasks",NLP/NLU,"NER model development"
"Implement model versioning and promotion workflows with Azure ML registry",DevOps/MLOps,"Model lifecycle management"
"Design person re-identification systems combining appearance features with tracking",Computer Vision,"Person tracking"
"Build semantic search systems with hybrid retrieval combining sparse and dense methods",AI/ML Engineering,"Information retrieval"
"Develop automated model evaluation pipelines with statistical significance testing",DevOps/MLOps,"Evaluation automation"
"Implement RAG architectures with hallucination detection and citation grounding",NLP/NLU,"Retrieval-augmented generation"
"Create microservice architectures with gRPC communication for low-latency inference",Backend Engineering,"Service architecture"
"Build GPU-optimized training pipelines with mixed-precision and gradient accumulation",AI/ML Engineering,"Training optimization"
"Design database schemas for multi-tenant SaaS platforms with row-level security",Backend Engineering,"Database design"
"Implement dwell-time analytics for retail spaces using computer vision and IoT sensors",Computer Vision,"Spatial analytics"
